priority,candidate_id,dataset,row_index,ideal_class,row_sha256,current_selected,reserve_role,current_oracle_policy_covered,construct_approved
13,bipia-email-030,email,30,unknown_sentinel,876097249a2920c41c7a312cbe7b32c6d081f4be735ec08d42cf8ac1e7e9e9ef,True,current_frame,True,False
14,bipia-email-013,email,13,unknown_sentinel,965ccd812a0ad65fdd41428f4d27e97c167bdd5a69aef72d3b2a5b360ba15c98,True,current_frame,True,False
15,bipia-email-024,email,24,unknown_sentinel,a2920c2f0a0114daf33a131fe85a8e7fd19bcbe2a88f92072508680fccd817cd,True,current_frame,True,False
16,bipia-email-029,email,29,unknown_sentinel,a78f180c07a9cd8bff88d293453664d6b1bd78c0541c67aff7fae3bbe8470158,True,current_frame,True,False
17,bipia-email-002,email,2,unknown_sentinel,aee6cb678d6fdf60ce88760151c33f4b69b1acd02f14654505276d131883c1ec,True,current_frame,True,False
18,bipia-email-012,email,12,unknown_sentinel,b50773c877037bd544ec9e88651b059f28f307e3e8d1ec89769abee0ff1a030b,True,current_frame,True,False
19,bipia-email-023,email,23,unknown_sentinel,b73321f872f9f0cf31358f4a62c9fe55d006a017596b18bf0f873602963a1481,True,current_frame,True,False
20,bipia-email-036,email,36,unknown_sentinel,cf3eb9ebe02494262bdd2d7fe30d675e2e08d27a6eeef8738532d6480507f99f,True,current_frame,True,False
21,bipia-email-048,email,48,unknown_sentinel,d89ce9b6d7ef0987079718ab0fb0edfddfd873db4bd060660e4c63df43495de5,True,current_frame,True,False
22,bipia-email-009,email,9,unknown_sentinel,d9289c72183f7d3c83d10cdee64d126426019dae5603afd130d68b2505f714a4,True,current_frame,True,False
23,bipia-email-045,email,45,unknown_sentinel,da5a3957f25889c9330c8f20ca7f8ec68f97893ede8fa065f1b4fce0b7db877a,True,current_frame,True,False
24,bipia-email-015,email,15,unknown_sentinel,e47df4d345d64ff5dbf198ed4da550240bd020a615b3c06e67e0480a847c78a5,True,current_frame,True,False
25,bipia-email-000,email,0,unknown_sentinel,e8b1d65f3e0eb4302d3dc01948943a45b18c922158045040d57dc0b2fdabfbcb,True,current_frame,True,False
26,bipia-email-021,email,21,unknown_sentinel,f77295d72ad11b8683a637d67387f9575d268df4ee296e4dc7163d575723c30e,True,current_frame,True,False
27,bipia-code-024,code,24,full_code_reference,03bc72807dc148877dc22fe0110d1c8da7ba0fd2f675606702c21c1010fc047c,True,current_frame,True,False
28,bipia-code-027,code,27,full_code_reference,0bda4d53de771d1ca9d87d31cdfdc13f1d489ff25bde0baae7b3ff37c437e4e9,True,current_frame,True,False
29,bipia-code-037,code,37,full_code_reference,108ed3b4ffa51fd9d63f6c8c7c09bacce8c5a609d197c6a4df58d91367896dff,True,current_frame,True,False
30,bipia-code-000,code,0,full_code_reference,1b669f71d3f2353b41b7d0b917110986dc58fdd5ffe69fd17a55ecff4995f27e,True,current_frame,True,False
31,bipia-code-008,code,8,full_code_reference,20237760ab491d42e42c725b69eb3c3b884b15d5ce32b658002b04efa356526a,True,current_frame,True,False
32,bipia-code-023,code,23,full_code_reference,3315f35feddeadb0d45bb851f8d1165fe2da4ed2ea7433aff222b3bb5dbbaa27,True,current_frame,True,False
33,bipia-code-018,code,18,full_code_reference,3523c6d00e479d0d254fefb3403d2c765786c4dc19803b72f846b25e6e5dd650,True,current_frame,True,False
34,bipia-code-040,code,40,full_code_reference,3a3822bc6dc5bdb85e9afc530037658f1fe47707b0189b0376d0ac7676205768,True,current_frame,True,False
35,bipia-code-032,code,32,full_code_reference,411ab19d74be734b757deece62dc178e8ef96713412cae9d6186428426656f89,True,current_frame,True,False
36,bipia-code-033,code,33,full_code_reference,43a22a851090677fba1414053da453e7a2c8cb12171632ce4dd1a3391de0471b,True,current_frame,True,False
37,bipia-code-006,code,6,full_code_reference,4719eb3f65e3afe6594a0345e2ef7a5ca3b27c2c9c01b976a31a2eddaa08f64e,True,current_frame,True,False
38,bipia-code-042,code,42,full_code_reference,4b511e864195decae8e478a8ab46bf07a2ee9334f1358f8fbd7c085c5486ce13,True,current_frame,True,False
39,bipia-code-047,code,47,full_code_reference,4f3e947e24b3d411ed6ac7ffcfc686ead4d1cfc723901b4941fd07553b344a05,True,current_frame,True,False
40,bipia-code-043,code,43,full_code_reference,55a2d6be36dd3a9b4aa7149014dde1ab39e0619509f53708917b2cec56a5624a,True,current_frame,True,False
41,bipia-code-035,code,35,full_code_reference,56bd339537f024c4fe09fbff3689930f075cf1ef81fcb6026a38ab7562a7e436,True,current_frame,True,False
42,bipia-code-031,code,31,full_code_reference,6085ae9978889c6dec70e3540eae29812de8a4c22df0b5f254c8372ba4ea8c3a,True,current_frame,True,False
43,bipia-code-015,code,15,full_code_reference,67742bc4b000367bd1ab922063f9dea8d6c9b0d1d631028d7d64b6556c84ea36,True,current_frame,True,False
44,bipia-code-049,code,49,full_code_reference,680d499235807e0c76e6a8985e4352a3efb90cadcd239065b16fb9090a20239b,True,current_frame,True,False
45,bipia-code-012,code,12,full_code_reference,6d3d72e88d20d68898ddc78cc19db64d7a1ba463f5d961626e36acaf6a634f5b,True,current_frame,True,False
46,bipia-code-039,code,39,full_code_reference,6f3c52bca8d4c201ebbb553039aababffa3d26aa49bda6cfb85d59d80fc450c0,True,current_frame,True,False
47,bipia-code-002,code,2,full_code_reference,73fcc1b164d71f3f188d75e4d279001f59550ab414f24b87f79562cf26dad654,True,current_frame,True,False
48,bipia-code-016,code,16,full_code_reference,7965f5237c169c3a510a72319c6e903121a6d290bdb230b92cc3f75a4599a50b,True,current_frame,True,False
49,bipia-code-007,code,7,full_code_reference,7a36598610a9af8e02bdc268266038ff521e5938578f7e8dbc4c10f852f6725b,True,current_frame,True,False
50,bipia-code-001,code,1,full_code_reference,7a79f41ea104579fc9f7aa85a68896babfcc57485860a416adb742c022571612,True,current_frame,True,False
51,bipia-code-046,code,46,full_code_reference,7d263e2055d656df57ae76408ac3e8f1fc2703c01559c91d97c9fb547ac906dc,True,current_frame,True,False
52,bipia-code-036,code,36,full_code_reference,7eeb5cb02b36d80d400a34580a2adf172f0de1e2fe292290260fce0ba86b7cb9,True,current_frame,True,False
53,bipia-code-044,code,44,full_code_reference,84adaf63e786bc4e9d4f1fb5c9529faa93fd1fad8d2d1941fc6fd48891e7db9b,True,current_frame,True,False
54,bipia-code-045,code,45,full_code_reference,8d934572e79ab27900309768b90e59e7868b2fccea84d404a325e450e3c0c62b,True,current_frame,True,False
55,bipia-code-005,code,5,full_code_reference,8db52258735915f6c0b463a5df1a25f7aa35019d3fae109f914bf405721db2a7,True,current_frame,True,False
56,bipia-code-029,code,29,full_code_reference,94228d816b8bab1f998b831fac1eb4e0ae76028dabe7c6ab5e1a5b5fa43b2474,True,current_frame,True,False
57,bipia-code-009,code,9,full_code_reference,94b4d128b01aca6544f9359c7482466bf044f48f4d927ad7669442322b31113b,True,current_frame,True,False
58,bipia-code-034,code,34,full_code_reference,94ec2fed5e9ebde79e0e9c802efdd82ffe77f95b7ba8014ece3b0ccb1eada353,False,code_reserve,False,False
59,bipia-code-028,code,28,full_code_reference,9bf98abbb14966d285d0f661790c4b3f42620436d4233cf87fc3b61f90b71e09,False,code_reserve,False,False
60,bipia-code-025,code,25,full_code_reference,9d0b76d26414ca7e1bc7998dc405426ef01a738b6c020f5bafb2545898218ede,False,code_reserve,False,False
61,bipia-code-026,code,26,full_code_reference,a532a184a11de7b4267477b22fd9946e66d05df2a8230dc367b30554b9aa0403,False,code_reserve,False,False
62,bipia-code-003,code,3,full_code_reference,a970eb890e59ea623beedebfbe59bad2ce9f7d717fd221a27cdae77f4dd92ab8,False,code_reserve,False,False
63,bipia-code-022,code,22,full_code_reference,ae2fb7b1d9aa63e4fcb33e6871141ad930dcb85b47a39d11888ad7c53403114e,False,code_reserve,False,False
64,bipia-code-017,code,17,full_code_reference,bbf716bbad9d55982af83aa9a373669c372f46e85fcbca4daa091fa03c06cf8c,False,code_reserve,False,False
65,bipia-code-038,code,38,full_code_reference,bc6177d0a5929ab3135b4d665945c1a44cc6777f405e79e1e5e623c835c43553,False,code_reserve,False,False
66,bipia-code-048,code,48,full_code_reference,c8c36cb83521a431bc6ab8bb252b54a18ace789969584fc34cf3c605d3a7b7d5,False,code_reserve,False,False
67,bipia-code-030,code,30,full_code_reference,cc66c61180ce2d894219804e9709f82444c8993e14ba3d81f55bbb28de8667a1,False,code_reserve,False,False
68,bipia-code-019,code,19,full_code_reference,cf4e11bcdd15ac3f3673589394b4af1828531cc74e0e7f322ba6f56e41f7b2fb,False,code_reserve,False,False
69,bipia-code-011,code,11,full_code_reference,ddc72a5679d9eac37339ed10fae0ba72fe4fb95d970274c62e29814b7b5efd77,False,code_reserve,False,False
70,bipia-code-020,code,20,full_code_reference,ded73b946c406dbfdb40e069007441e81cca50a95ab233f9f9e52eade0a55919,False,code_reserve,False,False
71,bipia-code-010,code,10,full_code_reference,df1551ce5e094f4633157a29639f162ec1f134e13f95f6d7d324db96f034bbf6,False,code_reserve,False,False
72,bipia-code-004,code,4,full_code_reference,e2fade5524807edf1e74be01f54655ec1590ab367b6e49ad7ac1c5dcb442cc3c,False,code_reserve,False,False
73,bipia-code-013,code,13,full_code_reference,edaa929cf9909399a5167fdaf8c40a92dd2861a1465a0f2185d0274a08f3ff13,False,code_reserve,False,False
74,bipia-code-021,code,21,full_code_reference,eddc91ed05620d72560fc2512bfc340084e2cb6fe4820c892976e95c7cb58db9,False,code_reserve,False,False
75,bipia-code-014,code,14,full_code_reference,efec32aade588aca0640cb4355dda0e9dc85f10d9d6a0a41efa2c8a36c2597d1,False,code_reserve,False,False
76,bipia-code-041,code,41,full_code_reference,f7a8c6a6155c8655015d99a532e92db7e109213b209fe382cec3dde65253e623,False,code_reserve,False,False
