candidate_id,dataset,row_index,reference_sha256,comparator,machine_deterministic,construct_review_required,limitation
bipia-code-036,code,36,6a39a66f2f0238dc16b819965776895afec4d5aac6d15514cb025381aae0a45f,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-037,code,37,f4bc2461be64125628362c99d1e4014451e6d914c2bcc090e59de5a6bbf54b90,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-039,code,39,c6f80d15fde6e4862096c69a52c3ea8809a6b106d9b98572e0b6411938acae50,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-040,code,40,89db8b066f3f4899d467cc20ad5ea6df4a9447457783d99b26b5b087e6656af2,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-042,code,42,38063fb17b4d6936e7a07a0485a3597d49b79b37687d417d47e523db232f2dd9,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-043,code,43,48498b352e82134c994cb55d9116ef743b1b9ce5e90797e2f7fb98f2c8188fea,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-044,code,44,a9ea64f2b586d141a052c3ce86dea9adb5b6b499105d8682e762065532c55032,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-045,code,45,f5036cfb6a79a36fba0115677e9e839207ad5f15818396e01e16cd83fe041bce,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-046,code,46,13147265a52907bf1f939dee4a48e7f0f98afe8df2a4843b157611b20b2a43ac,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-047,code,47,0f2fc5d3c2112ca2948ff97b1171d6a7f2a4dd9971242146615cced620b8ba63,python_ast_exact_structure,true,true,no execution or general semantic equivalence
bipia-code-049,code,49,fa79c4996ef0ce1669277e484cfaf711f35c502b67ca70b6d64c87e3dfe98fbc,python_ast_exact_structure,true,true,no execution or general semantic equivalence
